UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
18RA00001,2015058837,H8837,H8837,05,15,1,,30,17,,,2,2,2.0,,71,75,123,0.534,206,152,45,0.218,2.4,,,12.4,,,26.7,4.3,16.2,56,2,1,1-,,,H8210,05,H8410,05,,,232,191,0.434,3.0,Small scurs,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,5,5.0,2018,93,0905,14538,,0.031
18RA00002,2015059065,H9065,H9065,05,15,1,,30,18,,.,2,2,5.0,,83,73,111,0.557,226,138,45,0.178,2.4,,,12.0,,,27.8,4.9,17.6,56,1,1,3,,,H8376,05,H5686,05,,,257,191,0.508,3.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,7,14,14.0,2018,93,0905,14529,,0.018
18RA00003,2015059130,H9130,H9130,05,15,1,,30,13,,.,3,2,4.0,,85,72,109,0.57,230,143,45,0.193,2.8,,,12.0,,,28.5,4.9,17.3,54,1,1,3+,,,H7424,05,H6539,05,,,249,191,0.489,3.0,Slight Drag,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,17,11.0,2018,93,0905,14591,,0.026
18RA00004,2015059136,H9136,H9136,05,15,1,,30,18,,,2,2,3.0,,85,80,109,0.622,174,130,45,0.136,2.2,,,8.4,,,24.5,5.1,20.8,60,1,1,2-,,,H8376,05,H7498,05,,,219,191,0.384,3.0,.,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,9,8.0,2018,93,0905,14540,,0.03
18RA00005,2015059233,H9233,H9233,05,15,1,,30,e14,,,1,1,1.0,,89,87,105,0.697,213,134,45,0.126,2.4,,,11.4,,,23.0,4.7,20.4,62,1,1,2-,,,H8327,05,H8785,05,,,260,191,0.478,3.0,NICE.LEFT,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,3,6,5.0,2018,92,0829,14610,,0.041
18RA00006,2016059294,H9294,H9294,05,16,1,,30,31,,,2,2,4.0,,74,106,126,0.748,200,171,45,0.184,3.0,,,11.2,,,32.3,7.6,23.6,56,2,1,3+,,,H8485,05,H7506,05,,,244,191,0.388,2.0,"1ST, Scurs",3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,8,8.0,2018,93,0905,14470,,0.016
18RA00007,2016059361,H9361,H9361,05,16,1,,30,30,,,4,2,4.0,,80,84,120,0.617,152,160,45,0.211,2.4,,,7.2,,,28.3,5.1,18.2,62,2,1,2-,,,H8376,05,H7601,05,,,0,0,0.0,2.0,Scurs,,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,13,9.0,2018,,,0,,0.036
18RA00008,2016059362,H9362,H9362,05,16,1,,30,30,,,4,2,4.0,,80,77,120,0.575,136,146,45,0.192,2.6,,,8.0,,,26.4,4.6,17.4,62,2,1,2,,,H8376,05,H7601,05,,,0,0,0.0,2.0,2ND.Scurs,6,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,13,9.0,2018,66,0615,0,,0.036
18RA00009,2016059374,H9374,H9374,05,16,1,,30,31,,,2,2,2.0,,81,72,119,0.513,162,133,45,0.169,2.5,,,9.0,,,29.6,5.2,17.7,60,2,1,2,,,H8485,05,H8780,05,,,198,191,0.354,2.0,"1ST, Scurs",3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,3,4,4.0,2018,93,0905,14590,,0.024
18RA00010,2016059384,H9384,H9384,05,16,1,,30,29,,,3,1,7.0,,81,101,119,0.751,242,190,45,0.247,2.5,,,11.2,,,28.9,5.1,17.6,54,1,1,2-,,,H7479,05,H4823,05,,,274,191,0.486,2.0,2ND.Scur Left,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,7,17,15.0,2018,92,0829,14607,,0.02
